t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592985310,205,4943.087277,2562.804018,1023.727110,1072.193349,2499.419319,3525.922135,4469.811543,4469.811543,4591.179427,4943.087277,0.372811,0.411382,0.350480,0.279779,calls/second,milliseconds
1592985320,209,4943.087277,2543.024171,1023.727110,1019.765351,2499.419319,3497.926250,4366.404118,4469.811543,4591.179427,4943.087277,0.373298,0.394922,0.348852,0.280006,calls/second,milliseconds
1592985330,212,4943.087277,2610.967303,1023.727110,982.440098,2820.918783,3366.427007,4366.404118,4469.811543,4545.055876,4943.087277,0.372012,0.379711,0.347223,0.280224,calls/second,milliseconds
1592985340,215,4943.087277,2661.316753,1023.727110,952.964193,2850.271439,3452.839526,4151.468803,4469.811543,4541.512617,4943.087277,0.370770,0.382826,0.348953,0.281547,calls/second,milliseconds
1592985350,219,4943.087277,2682.633938,1023.727110,946.354392,2850.271439,3452.839526,4151.468803,4469.811543,4541.512617,4943.087277,0.371264,0.369471,0.347321,0.281748,calls/second,milliseconds
1592985360,224,4943.087277,2540.135710,1023.727110,927.142215,2346.352083,3366.427007,4013.178250,4469.811543,4469.811543,4943.087277,0.373410,0.390149,0.352354,0.284163,calls/second,milliseconds
1592985370,228,4943.087277,2537.214026,1023.727110,928.059690,2346.352083,3366.427007,4013.178250,4469.811543,4469.811543,4943.087277,0.373847,0.391661,0.353916,0.285443,calls/second,milliseconds
1592985380,231,4943.087277,2650.372639,1023.727110,933.350028,2523.498203,3497.926250,4001.708138,4469.811543,4469.811543,4943.087277,0.372657,0.376950,0.352121,0.285600,calls/second,milliseconds
1592985390,235,4943.087277,2636.064830,1023.727110,917.516095,2523.498203,3497.926250,4001.708138,4366.404118,4469.811543,4943.087277,0.373091,0.380489,0.353691,0.286864,calls/second,milliseconds
1592985400,239,4943.087277,2606.724564,1023.727110,928.338636,2523.498203,3497.926250,4001.708138,4151.468803,4469.811543,4943.087277,0.373510,0.383484,0.355209,0.288114,calls/second,milliseconds
1592985410,243,4943.087277,2553.487278,1023.727110,928.081413,2523.498203,3390.050517,3879.303942,4151.468803,4469.811543,4943.087277,0.373919,0.402011,0.359983,0.290459,calls/second,milliseconds
1592985420,247,4943.087277,2631.712846,1023.727110,890.147942,2564.951489,3390.050517,3879.303942,4013.178250,4469.811543,4943.087277,0.374313,0.386990,0.358044,0.290567,calls/second,milliseconds
1592985430,250,4943.087277,2662.911322,1023.727110,848.656764,2637.265597,3378.630324,3879.303942,4013.178250,4366.404118,4943.087277,0.373202,0.372996,0.356114,0.290668,calls/second,milliseconds
1592985440,255,4943.087277,2579.475560,1023.727110,816.476022,2562.499892,3295.722231,3858.399980,4001.708138,4188.631586,4943.087277,0.375068,0.377141,0.357552,0.291877,calls/second,milliseconds
1592985450,259,4943.087277,2545.629497,1023.727110,897.315451,2562.499892,3295.722231,4013.178250,4032.318455,4151.468803,4591.179427,0.375430,0.395363,0.362195,0.294173,calls/second,milliseconds
1592985460,263,4943.087277,2485.048680,1023.727110,912.025972,2528.962675,3295.722231,4001.708138,4032.318455,4151.468803,4591.179427,0.375779,0.396075,0.363434,0.295342,calls/second,milliseconds
1592985470,266,4943.087277,2547.433298,1023.727110,883.616646,2610.380065,3295.722231,3879.303942,4032.318455,4032.318455,4591.179427,0.374714,0.396678,0.364633,0.296499,calls/second,milliseconds
1592985480,269,4943.087277,2664.639519,1023.727110,900.338757,2826.683394,3389.971546,3885.164956,4032.318455,4032.318455,4591.179427,0.373676,0.382475,0.362542,0.296541,calls/second,milliseconds
1592985490,272,4943.087277,2791.923993,1023.727110,927.044455,3024.665897,3422.160329,4032.318455,4245.922797,4245.922797,4541.512617,0.372666,0.354462,0.357213,0.295474,calls/second,milliseconds
1592985500,276,4943.087277,2778.342545,1023.727110,857.895387,2831.332638,3389.971546,4032.318455,4245.922797,4245.922797,4541.512617,0.373036,0.361453,0.358616,0.296629,calls/second,milliseconds
1592985510,279,4943.087277,2821.629627,1023.727110,832.624427,2953.205382,3390.050517,4013.178250,4245.922797,4245.922797,4541.512617,0.372062,0.351379,0.356667,0.296663,calls/second,milliseconds
1592985520,282,4943.087277,2921.818290,1023.727110,866.055277,2953.205382,3519.959269,4245.922797,4660.232932,4660.232932,4660.232932,0.371113,0.342852,0.354782,0.296697,calls/second,milliseconds
1592985530,284,4943.087277,2993.714727,1023.727110,861.862144,2986.594351,3634.493312,4245.922797,4660.232932,4660.232932,4660.232932,0.368891,0.335634,0.352958,0.296730,calls/second,milliseconds
1592985540,288,4943.087277,2982.117535,1023.727110,821.372239,2986.594351,3577.981430,4245.922797,4660.232932,4660.232932,4660.232932,0.369291,0.329525,0.351195,0.296763,calls/second,milliseconds
1592985550,292,4943.087277,2863.054271,1023.727110,870.002630,2953.205382,3519.959269,4032.318455,4660.232932,4660.232932,4660.232932,0.369678,0.356335,0.356100,0.299012,calls/second,milliseconds
1592985560,296,4943.087277,2763.557113,1023.727110,869.475903,2824.701515,3389.971546,3900.115375,4660.232932,4660.232932,4660.232932,0.370057,0.364317,0.357594,0.300134,calls/second,milliseconds
1592985570,300,4943.087277,2719.631877,1023.727110,873.000098,2806.613852,3389.971546,3902.541942,4245.922797,4660.232932,4660.232932,0.370428,0.355082,0.355733,0.300136,calls/second,milliseconds
1592985580,304,4943.087277,2710.170900,1023.727110,900.096578,2806.613852,3389.971546,4222.901044,4245.922797,4660.232932,4660.232932,0.370787,0.361978,0.357185,0.301239,calls/second,milliseconds
1592985590,308,4943.087277,2719.443130,1023.727110,841.074395,2806.613852,3289.170870,4222.901044,4245.922797,4660.232932,4660.232932,0.371140,0.367815,0.358588,0.302330,calls/second,milliseconds
1592985600,312,4943.087277,2631.463557,1023.727110,859.624696,2643.591668,3289.170870,4001.708138,4222.901044,4660.232932,4660.232932,0.371484,0.372756,0.359946,0.303410,calls/second,milliseconds
1592985610,315,4943.087277,2780.806662,1023.727110,928.404280,2824.701515,3447.769491,4245.922797,4718.283839,4718.283839,4718.283839,0.370642,0.360947,0.357953,0.303369,calls/second,milliseconds
1592985620,319,4943.087277,2718.299817,1023.727110,909.148775,2752.796251,3447.769491,4222.901044,4718.283839,4718.283839,4718.283839,0.370985,0.382934,0.362638,0.305545,calls/second,milliseconds
1592985630,322,4943.087277,2782.611379,1023.727110,913.371326,2806.613852,3447.769491,4418.925036,4718.283839,4718.283839,4718.283839,0.370168,0.354850,0.357306,0.304378,calls/second,milliseconds
1592985640,326,4943.087277,2739.728057,1023.727110,938.931303,2652.737180,3447.769491,4418.925036,4718.283839,4718.283839,4718.283839,0.370508,0.361781,0.358705,0.305435,calls/second,milliseconds
1592985650,330,4943.087277,2742.050427,1023.727110,915.565010,2652.737180,3447.769491,4418.925036,4718.283839,4718.283839,4718.283839,0.370838,0.367649,0.360059,0.306480,calls/second,milliseconds
1592985660,334,4943.087277,2712.521314,1023.727110,910.109944,2633.186096,3447.769491,4222.901044,4660.232932,4718.283839,4718.283839,0.371163,0.372615,0.361369,0.307513,calls/second,milliseconds
1592985670,338,4943.087277,2645.601516,1023.727110,884.623061,2499.542458,3331.667433,4222.901044,4418.925036,4718.283839,4718.283839,0.371479,0.376819,0.362635,0.308535,calls/second,milliseconds
1592985680,341,4943.087277,2752.641661,1023.727110,951.892981,2508.893845,3488.937317,4718.283839,4865.404451,4865.404451,4865.404451,0.370703,0.364387,0.360554,0.308438,calls/second,milliseconds
1592985690,345,4943.087277,2698.869051,1023.727110,949.534681,2515.166971,3488.937317,4418.925036,4865.404451,4865.404451,4865.404451,0.371017,0.369854,0.361848,0.309450,calls/second,milliseconds
1592985700,348,4943.087277,2769.357525,1023.727110,937.126253,2633.186096,3555.339934,4418.925036,4865.404451,4865.404451,4865.404451,0.370262,0.374482,0.363098,0.310450,calls/second,milliseconds
1592985710,353,4943.087277,2658.056284,1023.727110,950.785025,2513.435093,3488.937317,4222.901044,4865.404451,4865.404451,4865.404451,0.371627,0.362408,0.361002,0.310332,calls/second,milliseconds
1592985720,356,4943.087277,2681.207946,1023.727110,948.478921,2583.001441,3540.182257,4076.681703,4865.404451,4865.404451,4865.404451,0.370881,0.366901,0.362226,0.311316,calls/second,milliseconds
1592985730,359,4943.087277,2797.995545,1023.727110,985.402181,2677.844276,3540.182257,4751.398678,4751.398678,4865.404451,4865.404451,0.370150,0.371982,0.363465,0.312296,calls/second,milliseconds
1592985740,363,4943.087277,2708.831872,1023.727110,965.885672,2629.381988,3337.807297,4751.398678,4751.398678,4865.404451,4865.404451,0.370456,0.361571,0.361411,0.312163,calls/second,milliseconds
1592985750,367,4943.087277,2694.750185,1023.727110,903.445727,2629.381988,3117.193465,4418.925036,4751.398678,4865.404451,4865.404451,0.370753,0.367470,0.362676,0.313134,calls/second,milliseconds
1592985760,371,4943.087277,2674.078759,1023.727110,868.029897,2604.948493,3117.193465,4076.681703,4751.398678,4865.404451,4865.404451,0.371045,0.372464,0.363900,0.314094,calls/second,milliseconds
1592985770,375,4943.087277,2644.341526,1023.727110,852.921271,2604.948493,3117.193465,4076.681703,4751.398678,4751.398678,4865.404451,0.371332,0.376692,0.365084,0.315043,calls/second,milliseconds
1592985780,378,4943.087277,2723.698532,1023.727110,857.817343,2629.381988,3287.673630,4076.681703,4751.398678,4751.398678,4865.404451,0.370634,0.364279,0.362922,0.314874,calls/second,milliseconds
1592985790,380,4943.087277,2785.841052,1023.727110,852.218110,2662.518906,3447.769491,3999.979028,4751.398678,4751.398678,4865.404451,0.368977,0.353771,0.360832,0.314706,calls/second,milliseconds
1592985800,385,4943.087277,2770.021909,1023.727110,935.703237,2633.186096,3581.832939,4449.294220,4751.398678,4751.398678,4865.404451,0.370237,0.362147,0.362171,0.315655,calls/second,milliseconds
1592985810,388,4943.087277,2756.302608,1023.727110,905.280477,2604.948493,3439.344365,4449.294220,4718.283839,4751.398678,4865.404451,0.369568,0.351967,0.360106,0.315479,calls/second,milliseconds
1592985820,392,4943.087277,2765.341004,1023.727110,914.925401,2604.948493,3524.251934,4076.681703,4449.294220,4751.398678,4865.404451,0.369855,0.359341,0.361413,0.316413,calls/second,milliseconds
1592985830,395,4943.087277,2798.573165,1023.727110,924.217701,2633.186096,3685.480553,4016.892581,4449.294220,4751.398678,4865.404451,0.369202,0.349592,0.359373,0.316228,calls/second,milliseconds
1592985840,399,4943.087277,2791.743423,1023.727110,929.277947,2629.381988,3685.480553,4016.892581,4449.294220,4751.398678,4865.404451,0.369487,0.341339,0.357399,0.316046,calls/second,milliseconds
1592985850,401,4943.087277,2845.898514,1023.727110,909.445771,3094.830195,3581.832939,4016.892581,4449.294220,4751.398678,4865.404451,0.367932,0.349066,0.358741,0.316967,calls/second,milliseconds
1592985860,404,4943.087277,2980.534802,1023.727110,1028.297551,3113.517388,3760.120553,4778.153384,4896.519210,4896.519210,4896.519210,0.367314,0.342173,0.356842,0.316783,calls/second,milliseconds
1592985870,409,4943.087277,2878.906228,1023.727110,984.995116,2604.948493,3555.472305,4778.153384,4896.519210,4896.519210,4896.519210,0.368510,0.351050,0.358257,0.317703,calls/second,milliseconds
1592985880,413,4943.087277,2808.365929,1023.727110,944.690312,2604.948493,3544.380936,4778.153384,4896.519210,4896.519210,4896.519210,0.368792,0.342574,0.356320,0.317504,calls/second,milliseconds
1592985890,416,4943.087277,2758.023798,1023.727110,925.315895,2590.441758,3524.251934,4778.153384,4896.519210,4896.519210,4896.519210,0.368182,0.366102,0.361003,0.319517,calls/second,milliseconds
1592985900,420,4943.087277,2832.849201,1023.727110,955.210457,2786.305236,3555.472305,4449.294220,4865.404451,4896.519210,4896.519210,0.368462,0.356594,0.359031,0.319305,calls/second,milliseconds
1592985910,425,4943.087277,2664.894566,1023.727110,955.967101,2545.553135,3543.210411,4141.744618,4778.153384,4896.519210,4896.519210,0.369605,0.363257,0.360374,0.320196,calls/second,milliseconds
1592985920,427,4943.087277,2759.289290,1023.727110,973.196117,2629.381988,3581.832939,4141.744618,4778.153384,4896.519210,4896.519210,0.368143,0.367620,0.361618,0.321072,calls/second,milliseconds
1592985930,431,4943.087277,2757.115547,1015.007630,989.757378,2774.703065,3581.832939,4141.744618,4778.153384,4896.519210,4896.519210,0.368415,0.357878,0.359625,0.320842,calls/second,milliseconds
1592985940,434,4943.087277,2808.202847,1015.007630,956.913292,2914.845643,3748.951770,4141.744618,4778.153384,4896.519210,4896.519210,0.367836,0.364344,0.360949,0.321717,calls/second,milliseconds
1592985950,438,4943.087277,2805.379088,1015.007630,924.848581,2914.845643,3748.951770,4016.892581,4778.153384,4865.404451,4896.519210,0.368107,0.355106,0.358978,0.321480,calls/second,milliseconds
1592985960,442,4943.087277,2774.761022,1015.007630,910.340758,2914.845643,3616.226446,3982.152122,4449.294220,4778.153384,4896.519210,0.368371,0.361998,0.360323,0.322348,calls/second,milliseconds
1592985970,445,4943.087277,2846.746567,1015.007630,888.949576,2979.337749,3616.226446,3954.708909,4141.744618,4778.153384,4896.519210,0.367806,0.351841,0.358318,0.322098,calls/second,milliseconds
1592985980,449,4943.087277,2780.815473,1015.007630,841.762634,2864.677399,3543.210411,3954.708909,4141.744618,4778.153384,4896.519210,0.368070,0.359234,0.359685,0.322958,calls/second,milliseconds
1592985990,453,4943.087277,2734.094896,1015.007630,837.693410,2667.397767,3543.210411,3898.598456,4141.744618,4778.153384,4896.519210,0.368331,0.349501,0.357701,0.322702,calls/second,milliseconds
1592986000,459,4943.087277,2480.695092,1009.895965,907.400950,2288.372133,3152.092836,3898.598456,4016.892581,4449.294220,4896.519210,0.370198,0.387957,0.365644,0.325766,calls/second,milliseconds
1592986010,462,4943.087277,2569.494816,1009.895965,978.619641,2304.641844,3319.699885,4141.744618,4901.538792,4901.538792,4901.538792,0.369636,0.388528,0.366716,0.326580,calls/second,milliseconds
1592986020,465,4943.087277,2714.696797,1009.895965,1009.366507,2600.568145,3619.357889,4002.332991,4901.538792,4901.538792,4901.538792,0.369084,0.374298,0.364501,0.326283,calls/second,milliseconds
1592986030,469,4943.087277,2628.184151,1009.895965,1050.033768,2361.309087,3619.357889,4002.332991,4901.538792,4901.538792,4901.538792,0.369327,0.394235,0.368971,0.328206,calls/second,milliseconds
1592986040,472,4943.087277,2709.044427,1009.895965,1027.274373,2649.938354,3655.576038,4002.332991,4901.538792,4901.538792,4901.538792,0.368786,0.380407,0.366737,0.327897,calls/second,milliseconds
1592986050,475,4943.087277,2827.220169,1009.895965,1029.872652,2968.042004,3715.103913,4270.708026,4901.538792,4901.538792,4901.538792,0.368252,0.352711,0.361271,0.326484,calls/second,milliseconds
